trace_id,document_id,chunk_id,document_title,page_number,citation_type,is_visual_source,is_valid,validation_notes,created_at
10487ee4-decd-4c2a-b394-d86c64b85e28,7144e2d1-ee71-4d3b-80a6-6b927c3b54ae,e14246b3-cd06-44eb-91b1-b021a8ae46be,Panduan SPMB Jalur Mandiri 2026 (Uji),,text,f,t,,2026-07-14 06:19:15.808542+00
10487ee4-decd-4c2a-b394-d86c64b85e28,ff8697c1-0e5f-4679-9092-bfedd314a469,7585ca0d-8961-48d3-ab1e-c81b830d3add,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:19:15.808542+00
10487ee4-decd-4c2a-b394-d86c64b85e28,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:15.808542+00
10aca5af-5097-4189-8e46-1417bb03f0af,ff8697c1-0e5f-4679-9092-bfedd314a469,67191532-7ddf-4462-83dc-203202095990,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:19:57.187064+00
176aa3e3-1b24-495a-b8bc-be045ba92abe,fc8ee7ca-220b-4027-a24b-806ea307a6ea,3590da8e-1207-486e-a268-e8080266f73d,HASIL SELEKSI TAHAP III (AKHIR)  SPMB JALUR MANDIRI  PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3,,text,f,t,,2026-07-14 06:17:59.424502+00
176aa3e3-1b24-495a-b8bc-be045ba92abe,dcdc6460-5d76-4ba4-8894-5150b991e3f1,ea692338-a595-4ef3-930b-ffa13f0ef5f8,HASIL SELEKSI TAHAP IV SPMB MANDIRI PRODI SARJANA TERAPAN (RPL) GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,,text,f,t,,2026-07-14 06:17:59.424502+00
1cd444e3-f65d-456d-9db3-55ca02a140f1,a57ef227-f21f-4369-933f-15c03d41645c,0f915597-0e2a-4462-9ab6-d2e55eb2340a,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:17:36.304136+00
1cd444e3-f65d-456d-9db3-55ca02a140f1,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:17:36.304136+00
1e32be3c-55ab-416f-9092-1e12ac09ff01,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:23.901194+00
1e32be3c-55ab-416f-9092-1e12ac09ff01,a57ef227-f21f-4369-933f-15c03d41645c,0f915597-0e2a-4462-9ab6-d2e55eb2340a,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:23.901194+00
249b0e67-3884-46b0-8502-ab85ae386d2c,2d5f593e-99cf-4d59-9501-c4ee68262f11,4d813e91-f39e-45d3-b7e2-1c2dc1db4f18,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:20:02.653864+00
249b0e67-3884-46b0-8502-ab85ae386d2c,ff8697c1-0e5f-4679-9092-bfedd314a469,67191532-7ddf-4462-83dc-203202095990,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:20:02.653864+00
